area,quartos,banheiros,vagas,preco,local
70,2,1,1,260000,Vila Passos
120,4,1,2,350000,Parque Mondesir
137,3,1,2,300000,Cidade Industrial
142,3,1,3,370000,Santo Antônio
300,3,5,3,499000,Vila Brito
55,2,1,1,180000,Loteamento Jardim Primavera
72,2,1,2,320000,Vila Geny
55,2,1,1,180000,Loteamento Jardim Primavera
73,2,2,1,499000,Bairro da Cruz
576,,,,290000,Parque Mondesir
87,2,1,2,320000,Nova Lorena
120,2,1,5,280000,Parque das Rodovias
55,2,1,2,270000,Parque das Rodovias
121,2,1,2,340000,Vila Nunes
59,2,1,2,235000,Cidade Industrial
130,3,3,2,400000,Cidade Industrial
100,3,2,2,300000,Vila Geny
164,3,2,3,420000,Cidade Industrial
125,2,2,2,470000,Cidade Industrial
250,3,3,2,650000,Bairro da Cruz
62,2,1,1,187000,Bairro da Cruz
10,2,1,2,250000,Loteamento Jardim Primavera
1196,,,,480000,Vila Nunes
55,2,1,1,220000,Centro
70,2,2,1,320000,Bairro da Cruz
141,3,2,1,300000,Vila dos Comerciários I
73,2,2,,429000,Bairro da Cruz
160,4,2,2,450000,Loteamento Jardim Primavera
55,2,1,1,240000,Olaria
100,2,1,2,280000,Vila Passos
300,,,,269000,Vila Nunes
84,2,1,1,250000,Cidade Industrial
147,2,1,2,350000,Vila Santa Edwiges
180,2,1,2,430000,Cidade Industrial
157,2,1,2,345000,Residencial Vila Rica
150,3,4,2,495000,Residencial Vila Rica
75,2,1,2,320000,Olaria
4000,,,,300000,Parque das Rodovias
153,3,2,2,550000,Santo Antônio
250,3,2,1,349000,Centro
150,,,,180000,Bairro da Cruz
70,2,1,2,280000,Residencial Vila Rica
520,,,,160000,Centro
116,2,2,1,300000,Vila São Roque
142,2,2,1,395000,Vila Nunes
126,,,,140000,Nova Lorena
210,,,,180000,Cidade Industrial
2000,,,,175000,Centro
69,2,1,1,269000,Vila Nunes
20000,,,,180000,Centro
40,1,1,1,250000,Residencial Vila Rica
196,3,3,2,500000,Vila Passos
61,2,1,2,295000,Vila Passos
96,2,2,1,300000,Centro
352,,,,300000,Loteamento Lorena Village
20000,,,,595000,Centro
231,2,1,2,350000,Centro
139,2,2,,318000,Parque Mondesir
71,2,2,2,390000,Loteamento Village das Palmeiras
75,2,1,2,395000,Loteamento Lorena Village
